City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,cape town,ZA,82.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
2,mildura,AU,88.07,broken clouds,-34.2,142.15,Mercure Hotel Mildura
10,carnarvon,AU,84.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
16,hithadhoo,MV,82.58,clear sky,-0.6,73.0833,Scoop Guest House
18,daru,PG,83.28,overcast clouds,-9.0763,143.2092,Daru Lodge
27,atuona,PF,79.03,clear sky,-9.8,-139.0333,Villa Enata
28,port alfred,ZA,75.97,clear sky,-33.5906,26.891,The Halyards Hotel
29,vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
30,hobyo,SO,80.73,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
32,ughelli,NG,76.75,clear sky,5.4899,6.0074,Prestige Hotel
33,rikitea,PF,79.09,broken clouds,-23.1203,-134.9692,People ThankYou
38,isangel,VU,86.11,overcast clouds,-19.55,169.2667,Tanna Lodge
42,luwuk,ID,85.06,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
48,poum,NC,78.57,moderate rain,-20.2333,164.0167,
49,oistins,BB,75.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
54,manado,ID,88.57,scattered clouds,1.487,124.8455,Aryaduta Hotel
56,dingle,PH,83.66,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
57,port elizabeth,ZA,77.09,few clouds,-33.918,25.5701,39 On Nile Guest House
59,stawell,AU,84.58,few clouds,-37.05,142.7667,Motel Stawell
62,sur,OM,81.3,clear sky,22.5667,59.5289,Sur Plaza Hotel
66,geraldton,AU,79.21,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
72,mahebourg,MU,84.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
75,busselton,AU,75.09,overcast clouds,-33.65,115.3333,Observatory Guest House
76,mlonggo,ID,87.69,overcast clouds,-6.5333,110.7,Asia Metal Art
82,arraial do cabo,BR,75.13,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
85,hermanus,ZA,81.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
95,plettenberg bay,ZA,76.86,clear sky,-34.0527,23.3716,Thanda Vista B&B
96,kotido,UG,76.66,overcast clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
101,harper,LR,77.74,light rain,4.375,-7.7169,Screensaver
103,butaritari,KI,82.53,light rain,3.0707,172.7902,Isles Sunset Lodge
106,kudahuvadhoo,MV,82.17,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
121,martapura,ID,89.69,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
123,georgetown,MY,89.55,few clouds,5.4112,100.3354,Cititel Penang
126,carutapera,BR,75.27,overcast clouds,-1.195,-46.02,Lidera
135,mackay,AU,80.58,overcast clouds,-21.15,149.2,International Lodge Motel
136,kloulklubed,PW,81.9,light rain,7.0419,134.2556,Storyboard Beach Resort
138,jati,PK,77.61,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
139,saint-philippe,RE,85.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
142,sinnamary,GF,76.82,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
143,kavieng,PG,83.35,light rain,-2.5744,150.7967,Nusa Island Retreat
146,cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
148,avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
150,buchanan,LR,76.96,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
154,boa vista,BR,80.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
160,lorengau,PG,83.43,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
170,manokwari,ID,83.19,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
178,souillac,MU,84.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
180,yeppoon,AU,82.18,clear sky,-23.1333,150.7333,Villa Mar Colina
184,faanui,PF,81.36,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
196,osmena,PH,80.94,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
199,vao,NC,80.85,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
205,bilaspur,IN,77.54,scattered clouds,22.0833,82.15,Hotel East Park
207,parit buntar,MY,89.94,scattered clouds,5.1267,100.4932,K Garden Hotel Parit Buntar
209,hambantota,LK,89.94,clear sky,6.1241,81.1185,Bungalow 63
212,veraval,IN,75.02,clear sky,20.9,70.3667,Lords Inn Somnath
230,nizwa,OM,77.47,clear sky,22.9333,57.5333,Orient Apartments
231,kieta,PG,84.31,light rain,-6.2167,155.6333,Uruna Bay Retreat
234,kununurra,AU,82.38,thunderstorm,-15.7667,128.7333,Hotel Kununurra
242,wajid,SO,86.38,scattered clouds,3.8093,43.2471,xamdihotelresturant114
248,elwood,AU,84.79,clear sky,-37.8817,144.983,Pullman Melbourne Albert Park
252,mount gambier,AU,85.91,overcast clouds,-37.8333,140.7667,The Commodore
253,jibuti,DJ,81.82,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
254,samarai,PG,84.52,overcast clouds,-10.6167,150.6667,Nuli Sapi
260,boda,CF,76.95,overcast clouds,4.3189,17.4695,
261,padang,ID,89.65,overcast clouds,-0.9492,100.3543,Mercure Padang
269,kimbe,PG,84.52,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
270,miri,MY,87.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
271,kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
281,bambous virieux,MU,84.45,light rain,-20.3428,57.7575,Casa Tia Villa
282,bengkulu,ID,81.84,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
283,lamu,KE,80.82,overcast clouds,-2.2717,40.902,Lamu House
284,gambela,ET,86.16,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
290,atambua,ID,82.8,few clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
291,aitape,PG,83.14,overcast clouds,-3.1374,142.3475,
296,tumpat,MY,86.05,few clouds,6.1978,102.171,Baan Tanyong B&B
300,saint-joseph,RE,84.58,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
306,grand gaube,MU,84.6,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
309,takoradi,GH,79.43,light rain,4.8845,-1.7554,Raybow International Hotel
314,ugoofaaru,MV,81.16,broken clouds,5.6667,73.0,Ungoofaaru Inn
316,inhambane,MZ,76.98,drizzle,-23.865,35.3833,Oceano
322,bandarbeyla,SO,78.6,few clouds,9.4942,50.8122,JABIR HOTEL
324,gbadolite,CD,81.12,broken clouds,4.2833,21.0167,Zenic
329,sola,VU,81.27,moderate rain,-13.8833,167.55,Leumerus Bungalows
349,razole,IN,82.69,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
355,granville,AU,75.38,few clouds,-33.8333,151.0167,Mercure Sydney Parramatta
356,cairns,AU,84.15,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
359,nhulunbuy,AU,79.41,thunderstorm,-12.2333,136.7667,East Arnhem Real Estate
360,weligama,LK,86.49,overcast clouds,5.9667,80.4167,Weligama Bay Resort
366,pemangkat,ID,83.07,scattered clouds,1.1667,108.9667,Ramah Kost KITA
371,curup,ID,75.88,overcast clouds,-3.4667,102.5333,Ayi The Costel
372,bambanglipuro,ID,76.6,broken clouds,-7.95,110.2833,Puri Brata
377,quatre cocos,MU,84.31,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
382,ternate,ID,84.78,heavy intensity rain,0.8,127.4,Sahid Bela Ternate Hotel
386,cockburn town,TC,75.76,clear sky,21.4612,-71.1419,Osprey Beach Hotel
391,palu,ID,85.06,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
392,buala,SB,83.07,light rain,-8.145,159.5921,Maringe Lagoon Lodge
394,swan hill,AU,84.4,few clouds,-35.3378,143.5544,Lazy River Motor Inn
396,mamallapuram,IN,86.05,few clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
399,olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
400,kasongo,CD,76.19,scattered clouds,-4.45,26.6667,Guest Hôtel
401,saint-pierre,RE,85.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
402,vredendal,ZA,84.13,overcast clouds,-31.6683,18.5012,Tharrakamma Guest House
