City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,cape town,ZA,-33.9258,18.4232,82.11,57,0,6.91,clear sky
1,cherskiy,RU,68.75,161.3,-29.65,100,18,2.44,few clouds
2,mildura,AU,-34.2,142.15,88.07,20,84,11.5,broken clouds
3,zhezkazgan,KZ,47.8043,67.7144,13.98,73,20,17.9,few clouds
4,haverfordwest,GB,51.8017,-4.9691,47.34,89,100,8.01,overcast clouds
5,albany,US,42.6001,-73.9662,8.55,75,8,2.89,clear sky
6,castro,BR,-24.7911,-50.0119,61.7,98,88,4.5,overcast clouds
7,havre-saint-pierre,CA,50.2334,-63.5986,3.2,59,0,10.36,clear sky
8,palmer,US,42.1584,-72.3287,14.61,68,0,6.91,clear sky
9,ribeira grande,PT,38.5167,-28.7,59.61,73,13,9.57,few clouds
10,carnarvon,AU,-24.8667,113.6333,84.27,61,10,21.85,clear sky
11,komsomolskiy,UZ,40.4272,71.7189,47.12,21,100,9.22,overcast clouds
12,chinsali,ZM,-10.5414,32.0816,62.94,97,100,2.04,overcast clouds
13,kuusamo,FI,65.9667,29.1833,17.64,93,100,10.36,overcast clouds
14,nipawin,CA,53.3668,-104.0009,-3.96,84,100,2.3,overcast clouds
15,chegdomyn,RU,51.1167,133.0167,2.91,88,100,1.81,overcast clouds
16,hithadhoo,MV,-0.6,73.0833,82.58,72,9,11.21,clear sky
17,hami,CN,42.8,93.45,33.46,21,100,19.66,overcast clouds
18,daru,PG,-9.0763,143.2092,83.28,80,100,9.78,overcast clouds
19,porto-vecchio,FR,41.591,9.2795,45.93,81,5,5.23,clear sky
20,barrow,US,71.2906,-156.7887,-20.18,69,75,5.75,broken clouds
21,asau,RO,46.4333,26.4,28.4,75,26,7.47,scattered clouds
22,aras,ES,42.5617,-2.356,32.32,86,0,10.36,clear sky
23,mataura,NZ,-46.1927,168.8643,53.47,58,1,3.78,clear sky
24,taga,RO,46.95,24.05,25.32,98,96,3.06,overcast clouds
