City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2022-02-05 22:51:37,-33.9258,18.4232,72.1,64,0,1.01
1,Saint-Philippe,RE,2022-02-05 22:52:44,-21.3585,55.7679,80.19,83,100,17.74
2,Mahebourg,MU,2022-02-05 22:52:41,-20.4081,57.7,79.25,89,40,11.5
3,Kieta,PG,2022-02-05 22:54:49,-6.2167,155.6333,85.15,70,77,8.25
4,Richards Bay,ZA,2022-02-05 22:51:59,-28.783,32.0377,71.31,88,98,7.23
5,Mazyr,BY,2022-02-05 22:54:50,52.0495,29.2456,32.04,89,100,13.71
6,Kavieng,PG,2022-02-05 22:46:20,-2.5744,150.7967,82.98,73,63,5.03
7,New Norfolk,AU,2022-02-05 22:51:38,-42.7826,147.0587,64.71,56,91,2.39
8,Mpika,ZM,2022-02-05 22:54:51,-11.8343,31.4529,61.11,96,98,5.68
9,Castro,BR,2022-02-05 22:54:28,-24.7911,-50.0119,65.62,97,74,7.09
10,Mount Gambier,AU,2022-02-05 22:46:44,-37.8333,140.7667,66.11,63,75,10.36
11,Kodiak,US,2022-02-05 22:51:45,57.79,-152.4072,38.71,87,100,11.5
12,Prince Rupert,CA,2022-02-05 22:47:55,54.3161,-130.3201,46.49,61,0,17.27
13,Byron Bay,AU,2022-02-05 22:54:53,-28.65,153.6167,74.05,62,96,19.24
14,Atuona,PF,2022-02-05 22:54:06,-9.8,-139.0333,78.8,78,10,22.5
15,Punta Arenas,CL,2022-02-05 22:50:27,-53.15,-70.9167,60.91,59,75,21.85
16,Hilo,US,2022-02-05 22:50:17,19.7297,-155.09,76.24,81,100,5.75
17,Chokurdakh,RU,2022-02-05 22:51:45,70.6333,147.9167,-31.74,100,100,1.72
18,Rikitea,PF,2022-02-05 22:50:20,-23.1203,-134.9692,79.2,73,97,10.67
19,Grindavik,IS,2022-02-05 22:45:38,63.8424,-22.4338,27.07,74,75,2.3
20,Hithadhoo,MV,2022-02-05 22:50:21,-0.6,73.0833,81.77,74,72,10.69
21,East London,ZA,2022-02-05 22:50:49,-33.0153,27.9116,69.67,86,100,16.31
22,Avarua,CK,2022-02-05 22:51:43,-21.2078,-159.775,80.65,89,40,17.27
23,Torbay,CA,2022-02-05 22:54:55,47.6666,-52.7314,49.57,94,100,29.93
24,Hasaki,JP,2022-02-05 22:51:39,35.7333,140.8333,27.0,41,21,11.97
25,Swellendam,ZA,2022-02-05 22:54:55,-34.0226,20.4417,66.58,78,3,4.47
26,Talnakh,RU,2022-02-05 22:52:43,69.4865,88.3972,-19.05,100,99,2.37
27,Maraa,BR,2022-02-05 22:52:43,-1.8333,-65.3667,74.01,95,100,1.5
28,Port Alfred,ZA,2022-02-05 22:51:29,-33.5906,26.891,70.36,86,87,26.35
29,Poltavka,RU,2022-02-05 22:54:56,54.3663,71.7632,4.5,81,100,8.14
